20210518
========
1834817|A5|Sheff|20:27|16:27|500m|
1834732|A1|Tralee|20:29|16:29|480m|
1834418|A4|ShelPk|20:31|16:31|480m|
1834719|A8|Cork|20:35|16:35|480m|
1834659|A4|Newc|20:36|16:36|480m|Dutching
1834570|OR|Towc|20:38|16:38|270m|
1834699|A6|Cryfd|20:43|16:43|380m|
1834419|A3|ShelPk|20:44|16:44|480m|
1834818|A6|Sheff|20:46|16:46|500m|
1834733|A3|Tralee|20:47|16:47|480m|
1834720|D5|Cork|20:48|16:48|686m|Dutching
1834660|A4|Newc|20:52|16:52|480m|Boa para Lay!
1834571|OR|Towc|20:54|16:54|500m|Boa para Lay!
1834420|A3|ShelPk|20:57|16:57|480m|
1834721|A7|Cork|21:01|17:01|480m|
1834819|A6|Sheff|21:01|17:01|500m|Dutching
1834700|A5|Cryfd|21:02|17:02|380m|Boa para Lay!
1834734|A4|Tralee|21:06|17:06|480m|
1834421|A3|ShelPk|21:10|17:10|480m|
1834661|HP|Newc|21:11|17:11|480m|
1834572|OR|Towc|21:12|17:12|712m|Dutching
1834722|S1|Cork|21:14|17:14|302m|
1834820|A4|Sheff|21:16|17:16|500m|
1834701|S5|Cryfd|21:18|17:18|540m|
1834735|A2|Tralee|21:22|17:22|480m|
1834422|A2|ShelPk|21:23|17:23|480m|
1834662|A3|Newc|21:26|17:26|480m|
1834723|A6|Cork|21:27|17:27|480m|
1834573|OR|Towc|21:28|17:28|500m|
1834821|D1|Sheff|21:31|17:31|280m|
1834736|S7|Tralee|21:34|17:34|297m|
1834724|A4|Cork|21:40|17:40|480m|
1834737|S8|Tralee|21:46|17:46|297m|
1834822|A1|Sheff|21:48|17:48|500m|Dutching
==================================================
